LOG FORMAT | segmentation_LOSS mIoU Acc | depth_LOSS AbsErr RelErr | TIME
Epoch: 0020 | TRAIN: 0.1395 0.7061 0.9482 | 0.0162 0.0162 0.2324 | Time: 141.5862 | VAL: 0.1963 0.6371 0.9325 | 0.0190 0.0190 0.3048 | Time: 3.2444 | TEST: 0.5346 0.5429 0.8363 | 0.1235 0.1237 282.6024 | Time: 4.0428
Epoch: 0021 | TRAIN: 0.1383 0.7078 0.9484 | 0.0169 0.0169 0.2336 | Time: 141.0257 | VAL: 0.1962 0.6448 0.9331 | 0.0190 0.0190 0.3217 | Time: 3.6014 | TEST: 0.4590 0.5656 0.8624 | 0.1611 0.1615 343.7825 | Time: 4.1165
Epoch: 0022 | TRAIN: 0.1442 0.7035 0.9467 | 0.0175 0.0175 0.2370 | Time: 141.7550 | VAL: 0.1952 0.6462 0.9330 | 0.0183 0.0183 0.3123 | Time: 3.4335 | TEST: 0.4740 0.5550 0.8584 | 0.1180 0.1184 285.2753 | Time: 4.3461
Epoch: 0023 | TRAIN: 0.1379 0.7085 0.9484 | 0.0171 0.0171 0.2297 | Time: 145.9930 | VAL: 0.1940 0.6577 0.9333 | 0.0195 0.0195 0.4088 | Time: 3.4597 | TEST: 0.6590 0.5113 0.7866 | 0.1239 0.1242 287.8233 | Time: 4.2087
Epoch: 0024 | TRAIN: 0.1340 0.7133 0.9498 | 0.0166 0.0166 0.2322 | Time: 139.9522 | VAL: 0.1971 0.6500 0.9328 | 0.0194 0.0194 0.3852 | Time: 3.2488 | TEST: 1.2439 0.4063 0.6353 | 0.1342 0.1344 293.8306 | Time: 4.2093
Epoch: 0025 | TRAIN: 0.1340 0.7122 0.9496 | 0.0164 0.0164 0.2253 | Time: 140.5918 | VAL: 0.1925 0.6542 0.9342 | 0.0187 0.0187 0.3278 | Time: 3.2398 | TEST: 0.8122 0.4750 0.7358 | 0.1632 0.1635 324.4786 | Time: 4.1861
Epoch: 0026 | TRAIN: 0.1309 0.7163 0.9507 | 0.0155 0.0155 0.2148 | Time: 141.8423 | VAL: 0.1938 0.6535 0.9339 | 0.0194 0.0194 0.3962 | Time: 3.2570 | TEST: 0.7605 0.4816 0.7597 | 0.1308 0.1311 293.2339 | Time: 4.1641
Epoch: 0027 | TRAIN: 0.1283 0.7195 0.9516 | 0.0150 0.0150 0.2033 | Time: 142.9591 | VAL: 0.1946 0.6457 0.9336 | 0.0196 0.0196 0.3138 | Time: 3.2582 | TEST: 0.8264 0.4722 0.7450 | 0.1421 0.1424 314.5408 | Time: 4.2129
Epoch: 0028 | TRAIN: 0.1265 0.7216 0.9521 | 0.0156 0.0156 0.2082 | Time: 141.4863 | VAL: 0.1956 0.6513 0.9345 | 0.0179 0.0179 0.2839 | Time: 3.1828 | TEST: 0.7393 0.4882 0.7722 | 0.1328 0.1332 290.7756 | Time: 4.3638
Epoch: 0029 | TRAIN: 0.1252 0.7234 0.9525 | 0.0153 0.0153 0.2076 | Time: 146.2796 | VAL: 0.1923 0.6597 0.9347 | 0.0174 0.0174 0.2183 | Time: 3.1594 | TEST: 0.7318 0.4928 0.7743 | 0.1285 0.1289 294.5691 | Time: 4.3008
Epoch: 0030 | TRAIN: 0.1237 0.7253 0.9529 | 0.0147 0.0147 0.1946 | Time: 141.2361 | VAL: 0.1944 0.6559 0.9348 | 0.0168 0.0168 0.2578 | Time: 3.1694 | TEST: 0.6955 0.5019 0.7873 | 0.1269 0.1272 296.7873 | Time: 4.2091
Epoch: 0031 | TRAIN: 0.1220 0.7271 0.9535 | 0.0145 0.0145 0.1833 | Time: 141.2706 | VAL: 0.1949 0.6563 0.9344 | 0.0183 0.0183 0.3847 | Time: 3.4736 | TEST: 0.7444 0.4942 0.7780 | 0.1402 0.1406 313.7762 | Time: 4.4047
Epoch: 0032 | TRAIN: 0.1211 0.7284 0.9538 | 0.0144 0.0144 0.1889 | Time: 140.2414 | VAL: 0.2070 0.6503 0.9327 | 0.0186 0.0186 0.3426 | Time: 3.7475 | TEST: 0.6619 0.5136 0.8062 | 0.1327 0.1330 306.4849 | Time: 4.3519
Epoch: 0033 | TRAIN: 0.1258 0.7236 0.9520 | 0.0152 0.0152 0.1945 | Time: 140.3912 | VAL: 0.1987 0.6448 0.9339 | 0.0185 0.0185 0.3909 | Time: 3.6487 | TEST: 0.7073 0.4918 0.7911 | 0.1364 0.1368 296.0453 | Time: 4.5511
Epoch: 0034 | TRAIN: 0.1207 0.7293 0.9537 | 0.0144 0.0144 0.1915 | Time: 140.4915 | VAL: 0.1987 0.6528 0.9341 | 0.0179 0.0179 0.3098 | Time: 3.5839 | TEST: 0.7463 0.4937 0.7773 | 0.1162 0.1165 270.8942 | Time: 4.4505
Epoch: 0035 | TRAIN: 0.1192 0.7304 0.9542 | 0.0151 0.0151 0.1982 | Time: 142.0223 | VAL: 0.1998 0.6565 0.9343 | 0.0190 0.0190 0.3582 | Time: 3.6129 | TEST: 0.7823 0.4896 0.7741 | 0.1286 0.1290 295.7451 | Time: 4.6759
